experiment,family,representation,variant,classifier,status,train_seconds,predict_seconds,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa,notes
tfidf_word__word_1_3__linear_svm,tfidf_word,"word n-grams=(1, 3)",word_1_3,linear_svm,ok,23.79753632377833,0.0177791630849242,0.5617063492063492,0.557980409159938,0.555,0.86125,0.7945136772252016,"feature_seconds=66.97; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13026421"
tfidf_char__char_wb_3_5__ridge_classifier,tfidf_char,"char_wb n-grams=(3, 5)",char_wb_3_5,ridge_classifier,ok,387.15005729626864,0.087713492102921,0.5645238095238095,0.5559512136470199,0.5651587301587302,0.8587103174603175,0.7895101231241346,"feature_seconds=83.15; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=77838512"
tfidf_word__word_1_3__complement_nb,tfidf_word,"word n-grams=(1, 3)",word_1_3,complement_nb,ok,0.2269148770719766,0.019748130813241,0.571031746031746,0.5537839433330844,0.566468253968254,0.8583829365079365,0.7932853887149838,"feature_seconds=66.97; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13026421"
tfidf_word__word_1_2__complement_nb,tfidf_word,"word n-grams=(1, 2)",word_1_2,complement_nb,ok,0.1996491895988583,0.0224680406972765,0.570595238095238,0.5533285777527172,0.5673015873015873,0.8581746031746031,0.7933563646027106,"feature_seconds=31.55; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=11794544"
tfidf_char__char_wb_3_6__ridge_classifier,tfidf_char,"char_wb n-grams=(3, 6)",char_wb_3_6,ridge_classifier,ok,436.4072460914031,0.1061011832207441,0.5608333333333333,0.5525497939885808,0.5688888888888889,0.8577777777777778,0.7881971149336885,"feature_seconds=100.54; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=91814298"
tfidf_char__char_wb_3_5__linear_svm,tfidf_char,"char_wb n-grams=(3, 5)",char_wb_3_5,linear_svm,ok,91.73852474428712,0.096206490881741,0.5597619047619048,0.5536174018242217,0.5702380952380952,0.8574404761904761,0.7851333890704568,"feature_seconds=83.15; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=77838512"
tfidf_char__char_wb_3_6__linear_svm,tfidf_char,"char_wb n-grams=(3, 6)",char_wb_3_6,linear_svm,ok,109.9595077065751,0.1035310653969645,0.5553571428571429,0.5493506498080453,0.5738888888888889,0.8565277777777778,0.7846809806608802,"feature_seconds=100.54; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=91814298"
bow__word_1_3__complement_nb,bow,"word n-grams=(1, 3)",word_1_3,complement_nb,ok,0.2332304297015071,0.0204754229635,0.5684523809523809,0.550950847810098,0.5765476190476191,0.8558630952380952,0.7865922183188949,"feature_seconds=64.01; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13026421"
bow__word_1_2__complement_nb,bow,"word n-grams=(1, 2)",word_1_2,complement_nb,ok,0.2145298942923545,0.0185931706801056,0.5657539682539683,0.547585745949901,0.5815079365079365,0.8546230158730159,0.7849505998588567,"feature_seconds=30.59; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=11794544"
tfidf_word__word_1_1__ridge_classifier,tfidf_word,"word n-grams=(1, 1)",word_1_1,ridge_classifier,ok,21.596024380996823,0.0082125412300229,0.5534523809523809,0.5451988164858189,0.583015873015873,0.8542460317460318,0.7795362808598517,"feature_seconds=12.99; train_shape=(226800, 80567); val_shape=(25200, 80567); train_nnz=6673067"
tfidf_word__word_1_1__linear_svm,tfidf_word,"word n-grams=(1, 1)",word_1_1,linear_svm,ok,62.63368448987603,0.0087779685854911,0.5482142857142858,0.5424775190147217,0.5876190476190476,0.8530952380952381,0.7755954310558533,"feature_seconds=12.99; train_shape=(226800, 80567); val_shape=(25200, 80567); train_nnz=6673067"
bow__word_1_3__linear_svm,bow,"word n-grams=(1, 3)",word_1_3,linear_svm,ok,275.53589255549014,0.0266011580824852,0.5153968253968254,0.5142410475180189,0.6423015873015873,0.8394246031746032,0.7416651914793179,"feature_seconds=64.01; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13026421"
bow__word_1_2__linear_svm,bow,"word n-grams=(1, 2)",word_1_2,linear_svm,ok,282.84843391459435,0.0200167633593082,0.5117857142857143,0.5103392555146941,0.6485714285714286,0.8378571428571429,0.7386807450002943,"feature_seconds=30.59; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=11794544"
bow__word_1_1__complement_nb,bow,"word n-grams=(1, 1)",word_1_1,complement_nb,ok,0.1173085197806358,0.0078622186556458,0.5360317460317461,0.5152922404569531,0.6521825396825397,0.836954365079365,0.7450233655063982,"feature_seconds=12.06; train_shape=(226800, 80567); val_shape=(25200, 80567); train_nnz=6673067"
tfidf_word__word_1_1__complement_nb,tfidf_word,"word n-grams=(1, 1)",word_1_1,complement_nb,ok,0.1229633092880249,0.0072534745559096,0.5331349206349206,0.5129161136055578,0.6561111111111111,0.8359722222222222,0.7425010080468435,"feature_seconds=12.99; train_shape=(226800, 80567); val_shape=(25200, 80567); train_nnz=6673067"
tfidf_char__char_wb_3_5__complement_nb,tfidf_char,"char_wb n-grams=(3, 5)",char_wb_3_5,complement_nb,ok,0.8587554404512048,0.0845681894570589,0.5380555555555555,0.517377222668299,0.6586507936507936,0.8353373015873016,0.7374575828765335,"feature_seconds=83.15; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=77838512"
bow__word_1_1__linear_svm,bow,"word n-grams=(1, 1)",word_1_1,linear_svm,ok,1351.0715751685202,0.0101065803319215,0.5162698412698413,0.5125032819385849,0.6591666666666667,0.8352083333333333,0.7283132123177287,"feature_seconds=12.06; train_shape=(226800, 80567); val_shape=(25200, 80567); train_nnz=6673067"
tfidf_char__char_wb_3_6__complement_nb,tfidf_char,"char_wb n-grams=(3, 6)",char_wb_3_6,complement_nb,ok,1.0557702518999577,0.1002227514982223,0.5350396825396826,0.5135873984889716,0.6652380952380952,0.8336904761904762,0.7347009554858064,"feature_seconds=100.54; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=91814298"
bow__word_1_1__ridge_classifier,bow,"word n-grams=(1, 1)",word_1_1,ridge_classifier,ok,232.98690274823457,0.0106135178357362,0.5163095238095238,0.510001917274307,0.6715079365079365,0.8321230158730158,0.7204523461662524,"feature_seconds=12.06; train_shape=(226800, 80567); val_shape=(25200, 80567); train_nnz=6673067"
bow__word_1_2__ridge_classifier,bow,"word n-grams=(1, 2)",word_1_2,ridge_classifier,ok,1058.766114502214,0.027796572074294,0.4748015873015873,0.472603214493663,0.7576190476190476,0.8105952380952381,0.6606755621544533,"feature_seconds=30.59; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=11794544"
bow__word_1_3__ridge_classifier,bow,"word n-grams=(1, 3)",word_1_3,ridge_classifier,ok,1155.7286224868149,0.0290560126304626,0.4677380952380952,0.4654406751133935,0.7779761904761905,0.8055059523809524,0.6462147741350215,"feature_seconds=64.01; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13026421"
majority__most_frequent,majority,constant,most_frequent,dummy_most_frequent,ok,0.0092087006196379,0.0002557896077632,0.2,0.0666666666666666,2.0,0.5,0.0,Always predicts the most frequent training label.
